timestamp,sid,shortdesc,rjn_siteid,rjn_entityid,value
2025-04-29T15:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.23
2025-04-29T15:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.99
2025-04-29T15:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.97
2025-04-29T15:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.97
2025-04-29T15:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,67.48
2025-04-29T15:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.1
2025-04-29T15:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.59
2025-04-29T15:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.67
2025-04-29T15:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.67
2025-04-29T15:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,54.07
2025-04-29T15:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.21
2025-04-29T15:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.93
2025-04-29T15:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.21
2025-04-29T15:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.93
2025-04-29T15:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.23
2025-04-29T15:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,54.05
2025-04-29T15:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.83
2025-04-29T15:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.69
2025-04-29T15:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.81
2025-04-29T15:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.56
2025-04-29T15:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.43
2025-04-29T15:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.38
2025-04-29T16:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.42
2025-04-29T16:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.96
2025-04-29T16:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.88
2025-04-29T16:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.62
2025-04-29T16:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,67.31
2025-04-29T16:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.76
2025-04-29T16:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.99
2025-04-29T16:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.6
2025-04-29T16:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.61
2025-04-29T16:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.6
2025-04-29T16:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.3
2025-04-29T16:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.57
2025-04-29T16:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.89
2025-04-29T16:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.0
2025-04-29T16:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.63
2025-04-29T16:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.68
2025-04-29T16:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.33
2025-04-29T16:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.55
2025-04-29T16:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.14
2025-04-29T16:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.48
2025-04-29T16:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.78
2025-04-29T16:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.98
2025-04-29T16:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.5
2025-04-29T16:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.94
2025-04-29T17:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,67.34
2025-04-29T17:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.6
2025-04-29T17:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.35
2025-04-29T17:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.28
2025-04-29T17:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.24
2025-04-29T17:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.64
2025-04-29T17:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.68
2025-04-29T17:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.49
2025-04-29T17:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.39
2025-04-29T17:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.75
2025-04-29T17:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.22
2025-04-29T17:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.0
2025-04-29T17:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.56
2025-04-29T17:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.81
2025-04-29T17:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.23
2025-04-29T17:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.35
2025-04-29T17:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.03
2025-04-29T17:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.63
2025-04-29T17:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.8
2025-04-29T17:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.52
2025-04-29T17:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,67.13
2025-04-29T17:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.45
2025-04-29T17:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.1
2025-04-29T17:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.74
2025-04-29T18:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.26
2025-04-29T18:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.88
2025-04-29T18:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.02
2025-04-29T18:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.39
2025-04-29T18:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.76
2025-04-29T18:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.15
2025-04-29T18:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.72
2025-04-29T18:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.17
2025-04-29T18:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.53
2025-04-29T18:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.3
2025-04-29T18:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.03
2025-04-29T18:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.4
2025-04-29T18:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.86
2025-04-29T18:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.6
2025-04-29T18:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.74
2025-04-29T18:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.0
2025-04-29T18:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,66.36
2025-04-29T18:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.92
2025-04-29T18:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.6
2025-04-29T18:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.83
2025-04-29T18:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.96
2025-04-29T18:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.41
2025-04-29T18:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.59
2025-04-29T18:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.46
2025-04-29T19:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.38
2025-04-29T19:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.16
2025-04-29T19:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.83
2025-04-29T19:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.25
2025-04-29T19:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.69
2025-04-29T19:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.45
2025-04-29T19:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.27
2025-04-29T19:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.43
2025-04-29T19:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.16
2025-04-29T19:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.42
2025-04-29T19:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.22
2025-04-29T19:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.44
2025-04-29T19:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,65.28
2025-04-29T19:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.27
2025-04-29T19:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.56
2025-04-29T19:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.61
2025-04-29T19:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.21
2025-04-29T19:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.25
2025-04-29T19:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.94
2025-04-29T19:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.14
2025-04-29T19:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.83
2025-04-29T19:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.91
2025-04-29T19:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.54
2025-04-29T19:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.83
2025-04-29T20:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.34
2025-04-29T20:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.03
2025-04-29T20:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.7
2025-04-29T20:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.64
2025-04-29T20:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.37
2025-04-29T20:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.24
2025-04-29T20:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.52
2025-04-29T20:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.16
2025-04-29T20:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.87
2025-04-29T20:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.27
2025-04-29T20:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.11
2025-04-29T20:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.32
2025-04-29T20:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.95
2025-04-29T20:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.39
2025-04-29T20:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.48
2025-04-29T20:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.89
2025-04-29T20:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.14
2025-04-29T20:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.08
2025-04-29T20:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.92
2025-04-29T20:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.72
2025-04-29T20:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.64
2025-04-29T20:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.93
2025-04-29T20:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.17
2025-04-29T20:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.68
2025-04-29T21:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.51
2025-04-29T21:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.25
2025-04-29T21:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.61
2025-04-29T21:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.9
2025-04-29T21:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.23
2025-04-29T21:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.86
2025-04-29T21:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.8
2025-04-29T21:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.76
2025-04-29T21:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.17
2025-04-29T21:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.85
2025-04-29T21:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.84
2025-04-29T21:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.29
2025-04-29T21:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.49
2025-04-29T21:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.41
2025-04-29T21:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.37
2025-04-29T21:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.49
2025-04-29T21:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.08
2025-04-29T21:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.2
2025-04-29T21:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.54
2025-04-29T21:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.9
2025-04-29T21:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.05
2025-04-29T21:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.65
2025-04-29T21:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.38
2025-04-29T21:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.18
2025-04-29T22:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.71
2025-04-29T22:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.36
2025-04-29T22:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.92
2025-04-29T22:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.37
2025-04-29T22:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.12
2025-04-29T22:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.52
2025-04-29T22:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.85
2025-04-29T22:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.31
2025-04-29T22:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.33
2025-04-29T22:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,53.2
2025-04-29T22:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.05
2025-04-29T22:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.58
2025-04-29T22:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.75
2025-04-29T22:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.87
2025-04-29T22:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.6
2025-04-29T22:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.22
2025-04-29T22:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.28
2025-04-29T22:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.55
2025-04-29T22:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,64.03
2025-04-29T22:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.9
2025-04-29T22:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.34
2025-04-29T22:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.78
2025-04-29T22:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.61
2025-04-29T22:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.58
2025-04-29T23:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.5
2025-04-29T23:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.08
2025-04-29T23:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.95
2025-04-29T23:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.25
2025-04-29T23:10:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.33
2025-04-29T23:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.49
2025-04-29T23:15:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.86
2025-04-29T23:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.57
2025-04-29T23:20:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.61
2025-04-29T23:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.56
2025-04-29T23:25:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.29
2025-04-29T23:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.1
2025-04-29T23:30:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.15
2025-04-29T23:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.0
2025-04-29T23:35:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,63.48
2025-04-29T23:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,52.43
2025-04-29T23:40:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.66
2025-04-29T23:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.69
2025-04-29T23:45:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,62.27
2025-04-29T23:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,50.75
2025-04-29T23:50:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,61.48
2025-04-29T23:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.31
2025-04-29T23:55:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.99
2025-04-29T23:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.06
2025-04-30T00:00:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.61
2025-04-30T00:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,51.01
2025-04-30T00:05:00,2308,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,199,60.4
2025-04-30T00:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,49.99
